"Data Source","World Development Indicators",

"Last Updated Date","2018-01-25",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"Aruba","ABW","Tax revenue (% of GDP)","GC.TAX.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Tax revenue (% of GDP)","GC.TAX.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.8833643391776","5.22975577450032","6.03942830571341","8.43499771421216","9.12365112089795","8.85456809670553","7.47163884629873","7.1583299582327","7.0355112493033","7.55326908912509","","",
"Angola","AGO","Tax revenue (% of GDP)","GC.TAX.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16.2939716615223","28.7033821587261","29.2466757235017","18.998294155276","21.557078552974","21.6738663013218","22.4037060741824","29.3121328576903","23.212555380315","26.9788751527034","17.0999428087181","16.8673668756193","17.2903175407854","16.4562670709012","15.5244975655881","15.5653501565976","12.4564259780283","","",
"Albania","ALB","Tax revenue (% of GDP)","GC.TAX.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.4227682111308","8.55360223376858","9.47929285717616","13.7016325093009","","","","16.1608431328524","16.7908423075841","17.6453594167714","","","","","","","18.0220121671078","17.4832336971038","16.5032750631586","18.3019409601871","18.600185455202","17.586503448215","",
"Andorra","AND","Tax revenue (% of GDP)","GC.TAX.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Tax revenue (% of GDP)","GC.TAX.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"United Arab Emirates","ARE","Tax revenue (% of GDP)","GC.TAX.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.992336343973077","1.07587239217888","1.1224470054107","","","","","","","","","","","","0.321191877334505","0.363565663162441","0.37014719817196","0.355669700845845","0.0577640014522786","0.0445300875705692","",
"Argentina","ARG","Tax revenue (% of GDP)","GC.TAX.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.83851314669697","5.00823654744009","5.54792213441138","8.01513800555669","8.12643722809198","8.05435765172309","8.17178777492906","8.69008635554994","9.03052618638845","9.07612433559182","9.62260350188905","9.32489879390056","9.81895834666325","12.5187797002949","13.1007798994386","13.1031756459852","12.8788866954319","12.4482684483004","13.3178463574032","12.3830415594157","12.8530426903256","12.6636277012315","12.9528415127413","12.4529027558077","12.6109666067191","12.5482889797169","12.364639174106","",
"Armenia","ARM","Tax revenue (% of GDP)","GC.TAX.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.9964056466186","14.3356634088462","14.3959865593942","15.962531729107","17.3217587321083","16.5058632327843","17.0700513990102","17.2194190490991","17.4916420766113","","21.5991745525223","20.931220827141","","",
"American Samoa","ASM","Tax revenue (% of GDP)","GC.TAX.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Tax revenue (% of GDP)","GC.TAX.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.6571058467176","14.7072244185605","16.0566584244093","16.5849031787968","17.2066601054518","16.487790952707","18.1699002681985","19.5118209034184","18.7390725491031","17.3465210576935","18.525586626973","17.8809426927229","18.47288559818","17.2387369785562","16.5420323693134","","","",
"Australia","AUS","Tax revenue (% of GDP)","GC.TAX.TOTL.GD.ZS","","","","","","","","","","","","","17.8546557340222","17.0322606564622","18.0693931004758","19.8907288023708","20.3179787693933","20.5502964735254","20.4221997828034","19.7852670256786","20.4260949719009","21.4733192366793","21.5956218248844","21.7264530169613","21.0149438144402","22.5140258415505","22.5795310641237","23.2258853538795","23.1317690921136","22.6391173803745","22.4300589575437","22.3223828000886","20.6293772343671","19.9651797583727","19.9822349692858","21.146629043636","21.8463815950967","22.3522465840939","22.222995144165","22.4441223832528","23.0644807751903","24.7876188668663","23.529091998706","24.3050348870428","24.30473000479","24.828438145084","24.5596710127016","24.0913521665563","24.2328485785229","22.0761069817674","20.5903162061429","20.4238104083684","21.3082565941407","22.1513961437066","22.1085072392669","22.1026260717272","22.3531359676686","",
"Austria","AUT","Tax revenue (% of GDP)","GC.TAX.TOTL.GD.ZS","","","","","","","","","","","","","17.888785545061","18.1969508473203","18.3973409930983","18.0109254054139","17.8623323843713","17.9992930878546","18.7775498563958","18.5501164112901","18.5780047045143","18.94982574072","18.1904204583364","18.0325887657024","18.9640774355352","18.1037840600629","17.9723367089122","17.720084109956","18.5628007757016","17.8057518142916","17.9810832815335","18.1671785806239","18.9204805390378","18.935455757724","18.3455730614349","24.6001061668802","25.9400360072768","26.7977121693633","26.8898454625725","26.6278222019285","26.225079875854","27.9655719884559","26.9755003214763","26.6469699320882","26.3086724864457","25.5139554642579","25.0504425566822","25.3919943156154","26.0775197165623","25.2251652368968","25.2816355062362","25.4279852755305","25.92819764092","26.4151730942712","26.4245053978138","26.7848213071975","","",
"Azerbaijan","AZE","Tax revenue (% of GDP)","GC.TAX.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","25.5607090259514","17.9540725466304","9.85031325019029","10.6938776802563","12.6792612959292","12.7335261769287","","","","","","","","","16.4211753684861","14.1067089869809","12.1577769928176","12.2247609538804","12.7785693409323","13.3883331614589","14.2125597315891","15.6031629275469","","",
"Burundi","BDI","Tax revenue (% of GDP)","GC.TAX.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15.142662979358","15.1227839627811","14.9289163092236","15.6160547727238","16.6782065784591","13.4389965792474","11.4203617269545","13.8542953523238","13.1656455862978","","","","","","","","","","","13.8919889679944","14.7416558665612","13.680911351864","12.1815712309271","","","","",
"Belgium","BEL","Tax revenue (% of GDP)","GC.TAX.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","25.485998682518","25.8303603183071","26.3474985694921","26.9469093725265","26.7973925790047","27.0797995523232","26.6400264270375","25.5432259490572","24.9491838456816","25.3762502058848","25.3533123068902","25.16964777977","24.7109692859992","25.0875048966873","23.6206032953047","24.3339299727061","24.7113012893745","25.7100062683855","26.1699424835309","26.2325494481226","24.622741909076","","",
"Benin","BEN","Tax revenue (% of GDP)","GC.TAX.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.6872210795175","14.4125492655237","14.2713487770729","14.6358968752407","13.8092829901334","14.2131235196549","15.6943939715484","16.1156676470993","14.9940988127536","15.5335923417241","14.8232709484433","14.4134995448211","15.3852955479906","","","","",
"Burkina Faso","BFA","Tax revenue (% of GDP)","GC.TAX.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.8661580190309","11.0910164006408","12.6990094553648","11.7528155851399","12.0636543814706","12.6856958251573","11.8643272249996","12.515250219583","12.7204264979693","13.7468327114361","15.6260996691914","16.8171059045135","15.3716996477856","15.0749297615291","15.5048305340623","",
